# ----------------------------------------
# 了解网站和/或应用流量概览
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
#  
# 开始日期：20260803
# 结束日期：20260830
国家/地区 ID,活跃用户
CN,9
ES,1
FR,1
HK,2
ID,2
IE,2
IN,1
RU,1
US,11

# 开始日期：20260803
# 结束日期：20260830
国家/地区,活跃用户
US,11
CN,9
HK,2
ID,2
IE,2
ES,1
FR,1

#  
# 开始日期：20260803
# 结束日期：20260830
城市,活跃用户
Council Bluffs,6
North Charleston,3
Chengdu,2
Dublin,2
Jakarta,2
Guangzhou,1
L'Hospitalet de Llobregat,1
Los Angeles,1
New York,1
Paris,1
Shenzhen,1
Surat,1
Suzhou,1
Vladivostok,1

#  
# 开始日期：20260803
# 结束日期：20260830
第 N 天,每位活跃用户的平均互动时长
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,1.3333333333333333
0022,1
0023,8.8
0024,25.545454545454547
0025,125.5
0026,5.857142857142857
0027,13.166666666666666

# 开始日期：20260803
# 结束日期：20260830
第 N 天,每位活跃用户的感兴趣会话数
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,1
0022,1
0023,1
0024,0.6363636363636364
0025,1
0026,0.42857142857142855
0027,0.5

# 开始日期：20260803
# 结束日期：20260830
第 N 天,每次会话的平均互动时长
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,1.3333333333333333
0022,1
0023,8.8
0024,23.416666666666668
0025,125.5
0026,5.857142857142857
0027,8.777777777777779

#  
# 开始日期：20260803
# 结束日期：20260830
事件名称,事件数
page_view,151
session_start,42
first_visit,34
user_engagement,12
scroll,11
view_search_results,8
click,1

#  
# 开始日期：20260803
# 结束日期：20260830
网页标题和屏幕类,浏览次数
Minecraft Circle Generator — Circles & Spheres,116
Générateur de Cercles Minecraft — Cercles et Sphères | CircleGen,23
Minecraft Circle with 33 block diameter | CircleGen,3
Terms of Use –Minecraft Circle Generator | CircleGen,2
我的世界圆形生成器(Minecraft)— 圆形与球形 | CircleGen,2
About –Minecraft Circle Generator | CircleGen,1
Contact –Minecraft Circle Generator | CircleGen,1
Círculo de Minecraft de 15 bloques de diámetro | CircleGen,1
Privacy Policy –Minecraft Circle Generator | CircleGen,1
Круг в Minecraft диаметром 33 блока | CircleGen,1

#  
# 开始日期：20260803
# 结束日期：20260830
第 N 天,日活/月活,日活/周活,周活/月活
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,1,1,1
0022,0.14285714285714285,0.14285714285714285,1
0023,0.45454545454545453,0.45454545454545453,1
0024,0.5238095238095238,0.5238095238095238,1
0025,0.08695652173913043,0.08695652173913043,1
0026,0.2413793103448276,0.2413793103448276,1
0027,0.17647058823529413,0.17647058823529413,1

#  
# 开始日期：20260803
# 结束日期：20260830
语言,活跃用户
English,25
Chinese,5
French,1
Indonesian,1
Russian,1
Spanish,1
