# ----------------------------------------
# 受众特征详情: 国家/地区
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260813
# 结束日期：20260909
国家/地区,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,用户关键事件率,总收入
United States,27,27,22,0.7857142857142857,0.8148148148148148,13.666666666666666,169,0,0,0
China,24,24,18,0.5806451612903226,0.75,34.875,274,0,0,0
Germany,6,5,1,0.16666666666666666,0.16666666666666666,22.166666666666668,34,0,0,0
(not set),5,5,5,1,1,1,20,0,0,0
Hong Kong,4,3,3,0.75,0.75,28.75,31,0,0,0
Brazil,2,2,2,1,1,60,34,0,0,0
India,2,2,2,0.6666666666666666,1,25.5,20,0,0,0
Indonesia,2,2,1,0.5,0.5,1,9,0,0,0
Ireland,2,2,0,0,0,0,8,0,0,0
Türkiye,2,2,1,0.5,0.5,8.5,9,0,0,0
Ukraine,2,2,1,0.5,0.5,0,7,0,0,0
United Kingdom,2,2,1,0.5,0.5,41.5,22,0,0,0
France,1,1,2,1,2,325,65,0,0,0
Iran,1,1,0,0,0,0,3,0,0,0
Italy,1,1,0,0,0,0,6,0,0,0
Norway,1,1,1,1,1,71,11,0,0,0
Poland,1,1,0,0,0,0,3,0,0,0
Russia,1,1,0,0,0,0,9,0,0,0
Saudi Arabia,1,1,1,1,1,480,50,0,0,0
Spain,1,1,1,1,1,14,4,0,0,0
