# ----------------------------------------
# Google 自然搜索流量: 着陆页 + 查询字符串
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260825
# 结束日期：20260921
着陆页 + 查询字符串,Google 搜索自然点击次数,Google 搜索自然展示次数,Google 搜索自然点击率,Google 搜索自然平均排名,活跃用户,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的平均互动时长,事件数,关键事件数,广告收入
/,13,1087,0.011959521619135235,47.543698252069916,11,11,1,123.72727272727273,199,0,0
/circle/33/,5,135,0.037037037037037035,7.696296296296296,4,2,0.3333333333333333,8.5,21,0,0
/ru/,4,207,0.01932367149758454,10.72463768115942,4,3,0.75,24.25,33,0,0
/dome/15/,2,12,0.16666666666666666,5.25,1,1,1,108,8,0,0
/it/,2,66,0.030303030303030304,11.954545454545455,0,0,0,0,0,0,0
/de/oval/101/51/,1,5,0.2,18.2,1,1,1,126,19,0,0
/es/oval/101/51/,1,14,0.07142857142857142,13.785714285714286,1,1,1,240,26,0,0
/es/sphere/15/,1,6,0.16666666666666666,7.666666666666667,1,1,1,14,4,0,0
/pl/,1,136,0.007352941176470588,16.735294117647058,0,0,0,0,0,0,0
/pt/,1,37,0.02702702702702703,13.756756756756756,1,1,1,105,26,0,0
/sphere/21/,1,8,0.125,7,1,0,0,8,5,0,0
/tr/,1,108,0.009259259259259259,7.648148148148148,0,0,0,0,0,0,0
/about/,0,13,0,33.76923076923077,0,0,0,0,0,0,0
/blog/minecraft-circle-guide/,0,165,0,22.757575757575758,0,0,0,0,0,0,0
/circle/101/,0,13,0,15.846153846153847,0,0,0,0,0,0,0
/circle/15/,0,85,0,9.588235294117647,0,0,0,0,0,0,0
/circle/17/,0,21,0,11.666666666666666,0,0,0,0,0,0,0
/circle/21/,0,131,0,8.358778625954198,0,0,0,0,0,0,0
/circle/35/,0,60,0,7.2,0,0,0,0,0,0,0
/de/,0,111,0,36.828828828828826,0,0,0,0,0,0,0
/de/circle/15/,0,12,0,7.416666666666667,0,0,0,0,0,0,0
/de/circle/17/,0,2,0,15,0,0,0,0,0,0,0
/de/circle/21/,0,11,0,9.454545454545455,0,0,0,0,0,0,0
/ellipsoid/15/11/7/,0,2,0,9,0,0,0,0,0,0,0
/ellipsoid/21/15/9/,0,6,0,58.5,0,0,0,0,0,0,0
/ellipsoid/33/21/13/,0,2,0,37,0,0,0,0,0,0,0
/es/,0,134,0,26.30597014925373,0,0,0,0,0,0,0
/es/circle/15/,0,39,0,8.102564102564102,0,0,0,0,0,0,0
/es/torus/21/4/,0,3,0,19.333333333333332,0,0,0,0,0,0,0
/fr/,0,105,0,33.161904761904765,0,0,0,0,0,0,0
/fr/circle/15/,0,1,0,9,0,0,0,0,0,0,0
/fr/circle/33/,0,3,0,15.333333333333334,0,0,0,0,0,0,0
/fr/ellipsoid/15/11/7/,0,2,0,54,0,0,0,0,0,0,0
/id/,0,9,0,7.222222222222222,0,0,0,0,0,0,0
/id/oval/101/51/,0,3,0,37.666666666666664,0,0,0,0,0,0,0
/it/circle/33/,0,21,0,22,0,0,0,0,0,0,0
/it/oval/101/51/,0,2,0,32,0,0,0,0,0,0,0
/it/sphere/15/,0,4,0,22.75,0,0,0,0,0,0,0
/oval/101/51/,0,4,0,47.25,0,0,0,0,0,0,0
/oval/121/61/,0,1,0,7,0,0,0,0,0,0,0
/oval/15/7/,0,1,0,9,0,0,0,0,0,0,0
