# ----------------------------------------
# 了解网站和/或应用流量概览
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
#  
# 开始日期：20260730
# 结束日期：20260826
国家/地区 ID,活跃用户
CN,3
HK,1
IN,1
US,2

# 开始日期：20260730
# 结束日期：20260826
国家/地区,活跃用户
CN,3
US,2
HK,1
IN,1

#  
# 开始日期：20260730
# 结束日期：20260826
城市,活跃用户
Council Bluffs,2
Chengdu,1
Shenzhen,1
Surat,1

#  
# 开始日期：20260730
# 结束日期：20260826
第 N 天,每位活跃用户的平均互动时长
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,1.3333333333333333
0026,1
0027,6.6

# 开始日期：20260730
# 结束日期：20260826
第 N 天,每位活跃用户的感兴趣会话数
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,1
0026,1
0027,0

# 开始日期：20260730
# 结束日期：20260826
第 N 天,每次会话的平均互动时长
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,1.3333333333333333
0026,1
0027,6.6

#  
# 开始日期：20260730
# 结束日期：20260826
事件名称,事件数
page_view,27
session_start,13
first_visit,12
scroll,2
user_engagement,2

#  
# 开始日期：20260730
# 结束日期：20260826
网页标题和屏幕类,浏览次数
Minecraft Circle Generator — Circles & Spheres,24
Privacy Policy –Minecraft Circle Generator | CircleGen,2
Terms of Use –Minecraft Circle Generator | CircleGen,1

#  
# 开始日期：20260730
# 结束日期：20260826
第 N 天,日活/月活,日活/周活,周活/月活
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,1,1,1
0026,0.14285714285714285,0.14285714285714285,1
0027,0.45454545454545453,0.45454545454545453,1

#  
# 开始日期：20260730
# 结束日期：20260826
语言,活跃用户
English,9
Chinese,2
