国家/地区,点击次数,展示,点击率,排名
中国香港,10,60,16.67%,34.82
中国,6,36,16.67%,19.81
土耳其,2,76,2.63%,32.38
俄罗斯,1,82,1.22%,25.62
波兰,1,44,2.27%,18.16
加拿大,1,23,4.35%,52.61
西班牙,1,11,9.09%,44.45
印度,0,198,0%,58.85
美国,0,158,0%,44.2
菲律宾,0,154,0%,64.8
越南,0,87,0%,63.13
孟加拉,0,58,0%,63.02
印度尼西亚,0,53,0%,53.55
马来西亚,0,53,0%,65.08
墨西哥,0,51,0%,54.75
德国,0,43,0%,39.14
意大利,0,39,0%,14.82
法国,0,33,0%,46.12
英国,0,32,0%,55.69
乌克兰,0,28,0%,38.32
泰国,0,26,0%,62.65
摩洛哥,0,22,0%,64.86
巴西,0,20,0%,18.8
约旦,0,19,0%,62.68
荷兰,0,18,0%,46.33
阿尔及利亚,0,17,0%,64.76
澳大利亚,0,13,0%,43.46
沙特阿拉伯,0,11,0%,67.82
爱尔兰,0,10,0%,28.6
比利时,0,10,0%,48.2
台湾,0,8,0%,7.12
瑞士,0,6,0%,25
巴基斯坦,0,6,0%,49.83
挪威,0,6,0%,62.83
葡萄牙,0,5,0%,6.2
芬兰,0,5,0%,52.2
丹麦,0,4,0%,48
阿根廷,0,4,0%,50.25
新西兰,0,4,0%,62.25
捷克,0,3,0%,24
哥伦比亚,0,3,0%,42.33
希腊,0,3,0%,44.67
以色列,0,3,0%,68.33
伊朗,0,2,0%,2.5
马耳他,0,2,0%,6.5
白俄罗斯,0,2,0%,8
哈萨克斯坦,0,2,0%,8
埃及,0,2,0%,27
韩国,0,2,0%,33
智利,0,2,0%,34.5
南非,0,2,0%,37
瑞典,0,2,0%,43
文莱,0,1,0%,5
阿塞拜疆,0,1,0%,6
委内瑞拉,0,1,0%,7
日本,0,1,0%,8
奥地利,0,1,0%,9
斯洛伐克,0,1,0%,10
格鲁吉亚,0,1,0%,11
匈牙利,0,1,0%,11
罗马尼亚,0,1,0%,33
哥斯达黎加,0,1,0%,57
新加坡,0,1,0%,71
